user_ptr_id,score_five_parts,07/01/2024,07/03/2024,difference
568,121,121,121,0
570,113,113,113,0
571,122,122,122,0
573,145,145,145,0
574,144,144,0,144
574,154,0,154,-154
575,244,244,244,0
576,145,145,145,0
578,144,144,0,144
578,154,0,154,-154
581,355,355,355,0
584,122,122,122,0
587,111,111,111,0
590,143,143,143,0
593,145,145,0,145
593,155,0,155,-155
594,144,144,0,144
594,154,0,154,-154
596,143,143,143,0
598,132,132,132,0
600,112,112,112,0
601,122,122,122,0
602,132,132,132,0
605,134,134,134,0
606,121,121,121,0
607,133,133,133,0
608,133,133,133,0
609,112,112,112,0
610,143,143,143,0
611,132,132,132,0
612,144,144,144,0
613,132,132,132,0
614,111,111,111,0
615,143,143,143,0
617,133,133,133,0
621,111,111,111,0
627,132,132,132,0
628,143,143,143,0
630,111,111,111,0
631,123,123,123,0
632,132,132,132,0
633,145,145,0,145
633,155,0,155,-155
635,133,133,133,0
636,121,121,121,0
637,133,133,133,0
640,121,121,121,0
642,143,143,143,0
657,155,155,155,0
658,144,144,0,144
658,154,0,154,-154
659,122,122,122,0
660,132,132,132,0
665,144,144,144,0
668,111,111,111,0
670,145,145,145,0
673,155,155,155,0
675,133,133,133,0
676,144,144,144,0
680,455,455,455,0
681,121,121,121,0
682,121,121,121,0
683,121,121,121,0
684,144,144,144,0
686,245,245,245,0
687,144,144,0,144
687,154,0,154,-154
689,143,143,143,0
690,254,254,254,0
694,133,133,133,0
695,155,155,155,0
696,145,145,0,145
696,155,0,155,-155
699,144,144,144,0
701,121,121,121,0
702,144,144,144,0
703,132,132,132,0
705,145,145,145,0
706,123,123,123,0
707,132,132,132,0
708,144,144,144,0
709,144,144,144,0
710,143,143,143,0
711,145,145,145,0
712,155,155,155,0
713,132,132,132,0
715,133,133,133,0
716,133,133,133,0
718,121,121,121,0
721,533,533,533,0
724,223,223,223,0
725,233,233,233,0
726,344,344,344,0
727,144,144,144,0
728,111,111,111,0
735,143,143,143,0
737,122,122,122,0
741,122,122,122,0
742,445,445,0,445
742,455,0,455,-455
743,555,0,555,-555
747,154,154,154,0
749,444,444,444,0
752,133,133,133,0
754,122,122,122,0
757,111,111,111,0
758,111,111,111,0
762,133,133,133,0
763,132,132,132,0
764,134,134,134,0
766,123,123,123,0
767,144,144,144,0
768,232,0,232,-232
768,332,332,0,332
769,121,121,121,0
770,155,155,155,0
771,122,122,122,0
772,144,144,144,0
774,144,144,144,0
777,143,143,143,0
780,155,155,155,0
781,133,133,133,0
784,144,144,144,0
785,144,144,0,144
785,154,0,154,-154
786,133,133,133,0
789,555,555,555,0
790,111,111,111,0
791,144,144,144,0
792,111,111,111,0
793,132,132,132,0
794,144,144,144,0
797,132,132,132,0
799,143,143,143,0
803,445,445,445,0
806,144,144,144,0
807,134,134,134,0
809,145,145,145,0
811,111,111,111,0
812,433,433,433,0
814,132,132,132,0
816,144,144,0,144
816,154,0,154,-154
817,544,544,544,0
818,144,144,0,144
818,154,0,154,-154
820,155,155,155,0
822,122,122,122,0
823,144,144,144,0
824,143,143,143,0
827,155,155,155,0
831,143,143,143,0
832,134,134,134,0
833,243,243,243,0
835,355,355,355,0
836,143,143,143,0
838,144,144,144,0
840,144,144,144,0
845,132,132,132,0
846,134,134,134,0
847,135,135,135,0
848,133,133,133,0
852,155,155,155,0
855,133,133,133,0
856,133,133,133,0
857,144,144,144,0
859,133,133,133,0
863,122,122,122,0
864,132,132,132,0
865,145,145,0,145
865,155,0,155,-155
866,145,145,145,0
867,133,133,133,0
869,155,155,155,0
870,212,212,212,0
872,155,155,155,0
876,155,155,155,0
877,143,143,143,0
883,133,133,133,0
887,122,122,122,0
892,111,111,111,0
896,145,145,145,0
897,122,122,122,0
898,144,144,144,0
899,144,144,144,0
900,312,312,312,0
901,113,113,113,0
902,111,111,111,0
903,111,111,111,0
905,111,111,111,0
906,133,133,133,0
907,145,145,145,0
908,111,111,111,0
914,143,143,143,0
917,122,122,122,0
918,155,155,155,0
920,113,113,113,0
923,122,122,122,0
924,111,111,111,0
926,132,132,132,0
927,143,143,143,0
928,134,134,134,0
929,144,144,144,0
930,143,143,143,0
931,111,111,111,0
935,133,133,133,0
936,145,145,145,0
939,143,143,143,0
940,144,144,144,0
941,532,532,532,0
945,111,111,111,0
946,133,133,133,0
947,144,144,144,0
948,433,433,433,0
949,144,144,144,0
950,132,132,132,0
951,144,144,144,0
952,155,155,155,0
953,133,133,133,0
954,133,133,133,0
955,133,133,133,0
956,143,143,143,0
958,133,133,133,0
960,123,123,123,0
963,134,134,134,0
967,145,145,0,145
967,155,0,155,-155
968,145,145,145,0
969,133,133,133,0
970,344,344,344,0
971,155,155,155,0
973,132,132,132,0
974,122,122,122,0
976,143,143,143,0
977,132,132,132,0
980,311,311,311,0
981,133,133,133,0
983,144,144,144,0
984,133,133,133,0
987,122,122,122,0
993,145,145,145,0
994,144,144,144,0
996,123,123,123,0
997,122,122,122,0
999,155,155,155,0
1000,122,122,122,0
1001,123,123,123,0
1003,122,122,122,0
1004,133,133,133,0
1010,144,144,0,144
1010,154,0,154,-154
1011,255,255,255,0
1013,143,143,143,0
1014,122,122,122,0
1015,132,132,132,0
1016,122,122,122,0
1019,132,132,132,0
1020,143,143,143,0
1022,133,133,133,0
1023,144,144,144,0
1027,133,133,133,0
1028,155,155,155,0
1030,143,143,143,0
1032,155,155,155,0
1034,133,133,133,0
1035,123,123,123,0
1037,522,522,522,0
1038,144,144,144,0
1039,122,122,122,0
1042,121,121,121,0
1046,111,111,111,0
1047,133,133,133,0
1049,131,131,131,0
1051,122,122,122,0
1052,122,122,122,0
1053,143,143,143,0
1056,144,144,144,0
1057,111,111,111,0
1059,144,144,144,0
1063,132,132,132,0
1066,132,132,132,0
1072,132,132,132,0
1073,533,533,533,0
1074,144,144,144,0
1075,122,122,122,0
1076,144,144,144,0
1077,144,144,144,0
1078,134,134,134,0
1079,132,132,132,0
1081,133,133,133,0
1085,233,233,233,0
1086,155,155,155,0
1088,143,143,143,0
1093,143,143,143,0
1094,144,144,144,0
1095,122,122,122,0
1097,144,144,144,0
1101,154,154,154,0
1103,134,134,134,0
1105,145,145,145,0
1107,134,134,134,0
1108,241,241,241,0
1111,132,132,132,0
1112,132,132,132,0
1116,143,143,143,0
1117,111,111,111,0
1120,122,122,122,0
1121,144,144,144,0
1122,132,132,132,0
1123,111,111,111,0
1124,155,155,155,0
1125,122,122,122,0
1126,132,132,132,0
1129,144,144,144,0
1131,145,145,0,145
1131,155,0,155,-155
1134,143,143,143,0
1135,111,111,111,0
1136,111,111,111,0
1137,134,134,134,0
1138,122,122,122,0
1143,112,112,112,0
1144,144,144,144,0
1145,122,122,122,0
1147,144,144,144,0
1148,122,122,122,0
1149,132,132,132,0
1152,122,122,122,0
1158,155,155,155,0
1159,144,144,144,0
1164,144,144,144,0
1173,334,334,334,0
1175,134,134,134,0
1177,132,132,132,0
1178,155,155,155,0
1180,121,121,121,0
1181,144,144,144,0
1184,133,133,133,0
1186,222,222,222,0
1194,134,134,134,0
1198,144,144,144,0
1200,143,143,143,0
1201,233,233,233,0
1206,134,134,134,0
1209,133,133,133,0
1211,132,132,132,0
1212,144,144,144,0
1213,144,144,144,0
1214,132,132,132,0
1216,145,145,145,0
1218,143,143,143,0
1220,133,133,133,0
1223,144,144,144,0
1228,132,132,132,0
1229,144,144,144,0
1230,133,133,133,0
1232,144,144,144,0
1233,144,144,144,0
1234,144,144,144,0
1236,121,121,121,0
1241,132,132,132,0
1244,143,143,143,0
1246,134,134,134,0
1247,143,143,143,0
1248,122,122,122,0
1253,132,132,132,0
1254,111,111,111,0
1255,111,111,111,0
1256,111,111,111,0
1257,145,145,0,145
1257,155,0,155,-155
1260,443,443,443,0
1261,155,155,155,0
1263,132,132,132,0
1264,123,123,123,0
1268,133,133,133,0
1271,134,134,134,0
1272,155,155,155,0
1273,143,143,143,0
1274,241,241,241,0
1277,555,555,555,0
1283,124,124,124,0
1285,123,123,123,0
1290,133,133,133,0
1291,145,145,0,145
1291,155,0,155,-155
1293,123,123,123,0
1294,145,145,145,0
1295,122,122,122,0
1296,122,122,122,0
1298,144,144,144,0
1300,133,133,133,0
1302,134,134,134,0
1304,144,144,144,0
1305,113,113,113,0
1306,231,231,231,0
1307,334,334,334,0
1309,133,133,133,0
1310,144,144,144,0
1311,111,111,111,0
1314,112,112,112,0
1315,144,144,144,0
1321,144,144,144,0
1324,123,123,123,0
1326,133,133,133,0
1328,144,144,144,0
1329,145,145,0,145
1329,155,0,155,-155
1330,155,155,155,0
1331,143,143,143,0
1332,144,144,0,144
1332,154,0,154,-154
1334,144,144,144,0
1336,132,132,132,0
1337,122,122,122,0
1339,133,133,133,0
1341,144,144,144,0
1343,255,255,255,0
1346,145,145,145,0
1347,155,155,155,0
1348,123,123,123,0
1349,144,144,144,0
1350,233,233,233,0
1351,111,111,111,0
1362,133,133,133,0
1363,134,134,134,0
1364,255,255,255,0
1372,144,144,144,0
1374,155,155,155,0
1382,121,121,121,0
1384,145,145,145,0
1386,111,111,111,0
1387,155,155,155,0
1388,344,344,344,0
1389,145,145,145,0
1391,345,345,345,0
1394,555,555,555,0
1396,143,143,143,0
1397,113,113,113,0
1402,144,144,144,0
1404,133,133,133,0
1406,143,143,143,0
1407,444,444,444,0
1408,144,144,0,144
1408,154,0,154,-154
1409,534,534,534,0
1411,155,155,155,0
1412,155,155,155,0
1417,144,144,0,144
1417,154,0,154,-154
1419,143,143,143,0
1420,344,344,344,0
1421,145,145,0,145
1421,155,0,155,-155
1424,155,155,155,0
1425,344,344,344,0
1426,132,132,132,0
1427,112,112,112,0
1428,123,123,123,0
1429,155,155,155,0
1430,144,144,0,144
1430,154,0,154,-154
1431,144,144,144,0
1433,245,245,245,0
1434,122,122,122,0
1436,143,143,143,0
1440,355,355,355,0
1441,122,122,122,0
1442,121,121,121,0
1444,143,143,143,0
1445,455,455,455,0
1451,144,144,144,0
1457,155,155,155,0
1458,143,143,143,0
1461,155,155,155,0
1462,144,144,144,0
1463,123,123,123,0
1464,133,133,133,0
1465,133,133,133,0
1468,144,144,144,0
1469,412,0,412,-412
1469,512,512,0,512
1470,144,144,144,0
1471,143,143,143,0
1473,143,143,143,0
1474,143,143,143,0
1475,144,144,144,0
1479,133,133,133,0
1480,155,155,155,0
1483,111,111,111,0
1484,233,233,233,0
1487,144,144,144,0
1491,143,143,143,0
1492,555,555,555,0
1494,143,143,143,0
1495,144,144,144,0
1496,155,155,155,0
1497,111,111,111,0
1504,111,111,111,0
1505,122,122,122,0
1506,134,134,134,0
1507,122,122,122,0
1509,145,145,145,0
1510,155,155,155,0
1511,133,133,133,0
1513,133,133,133,0
1514,143,143,143,0
1515,144,144,144,0
1516,121,121,121,0
1517,144,144,144,0
1518,133,133,133,0
1519,144,144,144,0
1521,133,133,133,0
1522,144,144,144,0
1523,244,244,244,0
1528,155,155,155,0
1529,111,111,111,0
1531,121,121,121,0
1533,255,255,255,0
1536,233,233,233,0
1537,133,133,133,0
1540,143,143,143,0
1541,344,344,344,0
1542,244,244,244,0
1546,155,155,155,0
1547,133,133,133,0
1549,134,134,134,0
1550,132,132,132,0
1553,134,134,134,0
1555,145,145,145,0
1557,132,132,132,0
1558,133,133,133,0
1560,144,144,144,0
1562,132,132,132,0
1563,145,145,0,145
1563,155,0,155,-155
1565,122,122,122,0
1567,121,121,121,0
1569,133,133,133,0
1577,134,134,134,0
1579,121,121,121,0
1580,122,122,122,0
1581,134,134,134,0
1584,122,122,122,0
1588,143,143,143,0
1592,122,122,122,0
1594,111,111,111,0
1596,143,143,143,0
1597,155,155,155,0
1599,132,132,132,0
1601,124,124,124,0
1602,132,132,132,0
1603,244,244,244,0
1604,132,132,132,0
1606,144,144,144,0
1612,144,144,144,0
1613,122,122,122,0
1614,144,144,144,0
1615,122,122,122,0
1619,432,432,432,0
1621,144,144,144,0
1626,544,544,544,0
1630,133,133,133,0
1631,143,143,143,0
1632,155,155,155,0
1636,143,143,143,0
1639,143,143,143,0
1643,121,121,121,0
1644,122,122,122,0
1647,143,143,143,0
1648,132,132,132,0
1650,155,155,155,0
1651,333,333,333,0
1653,143,143,143,0
1655,444,444,444,0
1659,112,112,112,0
1662,121,121,121,0
1663,241,241,241,0
1668,134,134,134,0
1670,143,143,143,0
1671,111,111,111,0
1672,143,143,143,0
1673,133,133,133,0
1675,144,144,144,0
1676,143,143,143,0
1678,155,155,155,0
1682,145,145,145,0
1683,144,144,144,0
1685,145,145,145,0
1686,143,143,143,0
1687,143,143,143,0
1689,111,111,111,0
1690,155,155,155,0
1692,155,155,155,0
1693,144,144,0,144
1693,154,0,154,-154
1694,144,144,144,0
1695,122,122,122,0
1696,132,132,132,0
1697,344,344,344,0
1698,155,155,155,0
1699,144,144,0,144
1699,154,0,154,-154
1703,144,144,144,0
1704,143,143,143,0
1705,155,155,155,0
1706,154,154,154,0
1708,143,143,143,0
1709,423,423,423,0
1711,155,155,155,0
1712,112,112,112,0
1713,155,155,155,0
1717,255,255,255,0
1718,133,133,133,0
1719,111,111,111,0
1720,111,111,111,0
1721,132,132,132,0
1722,133,133,133,0
1724,133,133,133,0
1726,155,155,155,0
1728,255,255,255,0
1733,155,155,155,0
1734,112,112,112,0
1735,122,122,122,0
1737,443,443,443,0
1739,122,122,122,0
1743,144,144,144,0
1744,155,155,155,0
1758,155,155,155,0
1759,133,133,133,0
1760,122,122,122,0
1761,443,443,443,0
1762,133,133,133,0
1763,545,545,545,0
1766,133,133,133,0
1767,134,134,134,0
1769,443,443,443,0
1771,121,121,121,0
1775,134,134,0,134
1775,144,0,144,-144
1776,143,143,143,0
1777,132,132,132,0
1778,122,122,122,0
1779,144,144,144,0
1784,355,355,355,0
1785,144,144,144,0
1787,143,143,143,0
1788,122,122,122,0
1789,144,144,144,0
1791,111,111,111,0
1796,544,544,544,0
1797,544,544,544,0
1810,122,122,122,0
1811,144,144,144,0
1812,132,132,132,0
1813,144,144,144,0
1814,121,121,121,0
1816,133,133,133,0
1817,155,155,155,0
1822,132,132,132,0
1823,143,143,143,0
1825,133,133,133,0
1826,121,121,121,0
1828,133,133,133,0
1829,133,133,133,0
1830,144,144,144,0
1831,155,155,155,0
1840,143,143,143,0
1841,145,145,145,0
1844,133,133,133,0
1845,133,133,0,133
1845,143,0,143,-143
1848,133,133,133,0
1849,122,122,122,0
1850,244,244,244,0
1851,134,134,134,0
1853,133,133,0,133
1853,143,0,143,-143
1854,155,155,155,0
1856,134,134,134,0
1857,122,122,122,0
1858,144,144,144,0
1859,143,143,143,0
1866,344,344,344,0
1867,112,112,112,0
1868,143,143,143,0
1869,145,145,145,0
1872,134,134,0,134
1872,144,0,144,-144
1874,143,143,143,0
1878,132,132,132,0
1879,133,133,133,0
1881,144,144,144,0
1884,132,132,132,0
1886,143,143,143,0
1889,132,132,132,0
1890,123,123,123,0
1891,122,122,122,0
1899,122,122,122,0
1902,111,111,111,0
1903,143,143,143,0
1905,111,111,111,0
1907,144,144,144,0
1910,143,143,143,0
1911,111,111,111,0
1913,132,132,132,0
1914,433,433,433,0
1915,144,144,144,0
1916,133,133,133,0
1917,155,155,155,0
1919,144,144,144,0
1925,112,112,112,0
1931,144,144,144,0
1934,144,144,144,0
1935,133,133,0,133
1935,143,0,143,-143
1936,133,133,133,0
1942,121,121,121,0
1946,543,543,543,0
1952,111,111,111,0
1954,133,133,133,0
1955,132,132,132,0
1958,144,144,144,0
1961,144,144,144,0
1962,122,122,122,0
1963,144,144,0,144
1963,154,0,154,-154
1971,155,155,155,0
1972,155,155,155,0
1974,122,122,122,0
1975,144,144,0,144
1975,154,0,154,-154
1976,533,533,533,0
1977,144,144,144,0
1981,144,144,144,0
1982,121,121,121,0
1989,133,133,133,0
1990,145,145,145,0
1991,133,133,133,0
2001,133,133,133,0
2004,144,144,144,0
2005,155,155,155,0
2006,143,143,143,0
2008,121,121,121,0
2011,144,144,144,0
2013,144,144,144,0
2015,155,155,155,0
2016,444,444,444,0
2019,143,143,143,0
2022,144,144,0,144
2022,154,0,154,-154
2025,143,143,143,0
2026,132,132,132,0
2028,133,133,133,0
2030,133,133,133,0
2032,132,132,132,0
2035,355,355,355,0
2039,122,122,122,0
2041,122,122,122,0
2042,524,524,524,0
2043,122,122,122,0
2044,133,133,133,0
2045,133,133,0,133
2045,143,0,143,-143
2048,145,145,0,145
2048,155,0,155,-155
2057,311,311,311,0
2058,144,144,144,0
2059,155,155,155,0
2063,133,133,133,0
2064,144,144,0,144
2064,154,0,154,-154
2067,143,143,143,0
2068,134,134,0,134
2068,144,0,144,-144
2069,144,144,144,0
2078,132,132,132,0
2079,144,144,0,144
2079,154,0,154,-154
2080,143,143,143,0
2084,133,133,0,133
2084,143,0,143,-143
2087,144,144,144,0
2089,123,123,123,0
2090,533,0,533,-533
2103,443,443,443,0
2105,121,121,121,0
2106,122,122,122,0
2107,121,121,121,0
2110,155,155,155,0
2125,343,343,343,0
2129,143,143,143,0
2130,133,133,133,0
2131,144,144,0,144
2131,154,0,154,-154
2133,244,244,244,0
2136,133,133,133,0
2137,122,122,122,0
2140,122,122,122,0
2141,122,122,122,0
2143,155,155,155,0
2144,533,0,533,-533
2148,322,322,322,0
2149,155,155,155,0
2150,144,144,144,0
2154,143,143,143,0
2157,133,133,133,0
2160,122,122,122,0
2161,143,143,143,0
2163,144,144,144,0
2170,121,121,121,0
2172,521,521,521,0
2173,134,134,134,0
2174,144,144,144,0
2177,133,133,133,0
2180,133,133,133,0
2182,455,455,455,0
2184,143,143,143,0
2185,144,144,144,0
2186,144,144,144,0
2189,121,121,121,0
2190,122,122,122,0
2191,155,155,155,0
2192,143,143,143,0
2193,144,144,0,144
2193,154,0,154,-154
2201,155,155,155,0
2202,143,143,143,0
2203,155,155,155,0
2204,145,145,145,0
2205,534,534,534,0
2206,143,143,143,0
2207,143,143,143,0
2208,132,132,132,0
2210,112,112,112,0
2215,244,244,244,0
2218,133,133,133,0
2219,322,322,322,0
2220,155,155,155,0
2221,133,133,133,0
2222,143,143,143,0
2224,144,144,144,0
2229,145,145,0,145
2229,155,0,155,-155
2230,333,333,333,0
2234,143,143,143,0
2235,112,112,112,0
2236,133,133,0,133
2236,143,0,143,-143
2239,144,144,144,0
2240,145,145,0,145
2240,155,0,155,-155
2241,333,333,333,0
2242,144,144,144,0
2244,111,111,111,0
2248,132,132,132,0
2249,132,132,132,0
2251,144,144,0,144
2251,154,0,154,-154
2252,133,133,133,0
2253,155,155,155,0
2258,143,143,143,0
2259,234,234,234,0
2261,122,122,122,0
2262,145,145,0,145
2262,155,0,155,-155
2264,133,133,133,0
2265,155,155,155,0
2266,122,122,122,0
2269,132,132,132,0
2270,233,233,0,233
2270,243,0,243,-243
2272,122,122,122,0
2273,143,143,143,0
2274,143,143,143,0
2277,144,144,144,0
2281,145,145,145,0
2284,121,121,121,0
2285,122,122,122,0
2286,144,144,144,0
2289,144,144,144,0
2290,111,111,111,0
2291,143,143,143,0
2293,122,122,122,0
2294,155,155,155,0
2295,155,155,155,0
2296,155,155,155,0
2300,255,255,255,0
2310,132,132,132,0
2313,111,111,111,0
2318,155,155,155,0
2320,122,122,122,0
2322,121,121,121,0
2324,121,121,121,0
2327,544,544,544,0
2328,244,244,244,0
2330,155,155,155,0
2331,133,133,133,0
2332,112,112,112,0
2333,133,133,133,0
2334,145,145,145,0
2335,133,133,133,0
2336,112,112,112,0
2338,123,123,123,0
2340,143,143,143,0
2342,112,112,112,0
2346,111,111,111,0
2348,133,133,0,133
2348,143,0,143,-143
2349,143,143,143,0
2350,122,122,122,0
2351,144,144,144,0
2352,122,122,122,0
2358,132,132,132,0
2359,332,332,332,0
2360,112,112,112,0
2361,332,332,332,0
2363,333,333,333,0
2364,133,133,133,0
2367,133,133,133,0
2369,132,132,132,0
2370,145,145,0,145
2370,155,0,155,-155
2371,122,122,122,0
2374,244,244,244,0
2378,111,111,111,0
2379,155,155,155,0
2380,134,134,134,0
2382,134,134,134,0
2384,155,155,155,0
2386,143,143,143,0
2387,123,123,123,0
2389,111,111,111,0
2390,123,123,123,0
2391,112,112,112,0
2396,143,143,143,0
2397,155,155,155,0
2398,133,133,133,0
2402,133,133,133,0
2404,144,144,0,144
2404,154,0,154,-154
2409,111,111,111,0
2410,444,444,444,0
2413,111,111,111,0
2414,144,144,144,0
2415,144,144,0,144
2415,154,0,154,-154
2417,134,134,134,0
2418,132,132,132,0
2419,355,355,355,0
2421,433,433,433,0
2422,122,122,122,0
2423,111,111,111,0
2424,145,145,0,145
2424,155,0,155,-155
2429,144,144,144,0
2431,121,121,121,0
2432,155,155,155,0
2434,132,132,132,0
2437,132,132,132,0
2438,123,123,123,0
2439,445,445,445,0
2443,111,111,111,0
2452,144,144,144,0
2454,144,144,144,0
2459,155,155,155,0
2466,244,244,244,0
2468,144,144,144,0
2477,133,133,0,133
2477,143,0,143,-143
2478,122,122,122,0
2479,233,233,233,0
2481,121,121,121,0
2483,132,132,132,0
2485,333,333,333,0
2487,145,145,145,0
2494,122,122,122,0
2498,143,143,143,0
2500,143,143,143,0
2501,132,132,132,0
2504,145,145,0,145
2504,155,0,155,-155
2506,144,144,144,0
2508,133,133,133,0
2515,144,144,0,144
2515,154,0,154,-154
2516,143,143,143,0
2517,122,122,122,0
2519,144,144,144,0
2520,143,143,143,0
2521,112,112,112,0
2522,555,555,555,0
2525,144,144,144,0
2529,155,155,155,0
2530,124,124,124,0
2533,111,111,111,0
2537,132,132,132,0
2539,133,133,133,0
2540,122,122,122,0
2544,111,111,111,0
2545,132,132,132,0
2547,144,144,144,0
2548,533,533,533,0
2549,122,122,122,0
2551,123,123,123,0
2552,155,155,155,0
2553,155,155,155,0
2554,134,134,134,0
2555,122,122,122,0
2557,132,132,132,0
2558,132,132,132,0
2560,133,133,133,0
2563,134,134,134,0
2566,122,122,122,0
2568,254,254,254,0
2569,122,122,122,0
2573,133,133,133,0
2576,143,143,143,0
2581,122,122,122,0
2582,133,133,133,0
2585,155,155,155,0
2587,145,145,0,145
2587,155,0,155,-155
2588,121,121,121,0
2589,132,132,132,0
2592,112,112,112,0
2593,144,144,144,0
2595,133,133,133,0
2598,144,144,144,0
2599,145,145,145,0
2601,244,244,244,0
2602,132,132,132,0
2605,144,144,0,144
2605,154,0,154,-154
2607,155,155,155,0
2611,544,544,544,0
2614,133,133,133,0
2616,133,133,133,0
2617,155,155,155,0
2618,133,133,0,133
2618,143,0,143,-143
2619,132,132,132,0
2621,111,111,111,0
2627,155,155,155,0
2629,122,122,122,0
2631,145,145,0,145
2631,155,0,155,-155
2632,145,145,0,145
2632,155,0,155,-155
2633,143,143,143,0
2634,112,112,112,0
2635,132,132,132,0
2638,133,133,133,0
2639,511,511,511,0
2640,155,155,155,0
2643,145,145,0,145
2643,155,0,155,-155
2644,132,132,132,0
2647,144,144,144,0
2649,145,145,0,145
2649,155,0,155,-155
2651,111,111,111,0
2652,543,543,543,0
2656,144,144,144,0
2660,243,243,243,0
2661,134,134,134,0
2664,133,133,133,0
2666,122,122,122,0
2667,132,132,132,0
2670,111,111,111,0
2672,143,143,143,0
2673,133,133,133,0
2678,244,244,244,0
2680,145,145,0,145
2680,155,0,155,-155
2681,111,111,111,0
2682,133,133,133,0
2688,143,143,143,0
2689,144,144,144,0
2690,134,134,134,0
2691,111,111,111,0
2692,143,143,143,0
2693,144,144,144,0
2695,111,111,111,0
2697,113,113,113,0
2698,122,122,122,0
2699,143,143,143,0
2700,244,244,244,0
2702,155,155,155,0
2703,143,143,143,0
2704,544,544,544,0
2705,143,143,143,0
2706,132,132,132,0
